,Electricity:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,dateHour,W_min_kW_hourly_Electricity,total_hourly_Electricity
27,1.5263990628100002,0.0,0.392544245838,0.111556263562,0.5041005094,0.111556263562,0.047162941267099995,0.0101601501881,0.36061507566,0.272321956112,0.315394430185,2013-06-13 11:00:00,109.14800926,112.7998201585842
28,1.5923173418099998,0.0,0.486246903901,0.13961710209699998,0.625864005998,0.13961710209699998,0.047162941267099995,0.0101601501881,0.350008238641,0.267734603099,0.27474340261700003,2013-06-13 12:00:00,85.983772295,89.9172440867152
29,0.521713720598,0.0,0.0,0.0,0.0,0.0,0.059739719762900004,0.0128695235716,0.0735359875481,0.269819763559,0.0891047261554,2013-06-14 04:00:00,44.7521995539,45.778982995095
30,0.690132011587,0.0,0.0,0.0,0.0,0.0,0.0628839163785,0.0135468669175,0.0853631352956,0.301097170464,0.210596922532,2013-06-14 05:00:00,5.508779065999999,6.872399089174599
31,1.55638696284,0.0,0.418206689842,0.11740465469599999,0.535611344538,0.11740465469599999,0.047162941267099995,0.0101601501881,0.36061507566,0.272321956112,0.313871495074,2013-06-14 11:00:00,66.00519980669999,69.75434573161318
32,1.6485725840399998,0.0,0.534831851022,0.148596405933,0.6834282569560001,0.148596405933,0.047162941267099995,0.0101601501881,0.350008238641,0.267734603099,0.273434393888,2013-06-14 12:00:00,97.773056164,101.8855819949672
33,1.75555525535,0.0,0.653494001078,0.181585937594,0.835079938673,0.181585937594,0.047162941267099995,0.0101601501881,0.319023623067,0.276992715543,0.250491886613,2013-06-14 13:00:00,20.99739483,25.508527216967202
34,1.83837265107,0.0,0.688148560229,0.186368476439,0.8745170366670001,0.186368476439,0.047162941267099995,0.0101601501881,0.350008238641,0.267734603099,0.272145681205,2013-06-15 12:00:00,49.0204238523,53.7414106675442
35,1.8596945874900002,0.0,0.734132972771,0.206242173031,0.940375145802,0.206242173031,0.047162941267099995,0.0101601501881,0.319023623067,0.276992715543,0.24933601162799998,2013-06-15 13:00:00,35.795837329,40.6451998228182
36,1.48727551136,0.0,0.352163685638,0.10122495147399999,0.453388637112,0.10122495147399999,0.047162941267099995,0.0101601501881,0.397818744732,0.267734603099,0.29436643496,2013-06-17 12:00:00,30.659531211300006,34.1720518226042
37,1.58817126491,0.0,0.47179809651,0.134262049448,0.6060601459570001,0.134262049448,0.047162941267099995,0.0101601501881,0.36261165558200004,0.276992715543,0.268539656373,2013-06-17 13:00:00,35.924455114999994,39.82447584022619
38,1.57098736201,0.0,0.369894454718,0.105218385742,0.47511284046,0.105218385742,0.047162941267099995,0.0101601501881,0.41310383517899996,0.272321956112,0.33648163880500004,2013-06-18 11:00:00,23.917892867200003,27.6235548174232
39,1.66291243498,0.0,0.493264268108,0.13713458709100002,0.630398855199,0.13713458709100002,0.047162941267099995,0.0101601501881,0.397818744732,0.267734603099,0.292993140491,2013-06-18 12:00:00,70.0386467507,74.11536106294619
40,1.7566219741999998,0.0,0.606971762212,0.16876595016100002,0.7757377123739999,0.16876595016100002,0.047162941267099995,0.0101601501881,0.36261165558200004,0.276992715543,0.267312799245,2013-06-18 13:00:00,4.828343311,9.2694469219332
41,1.4933723980000002,0.0,0.415212409274,0.11925430899700001,0.534466718271,0.11925430899700001,0.047162941267099995,0.0101601501881,0.350008238641,0.267734603099,0.26719574652899997,2013-06-19 12:00:00,81.77250656199999,85.39632838526319
42,1.6009006073899998,0.0,0.534151444309,0.151866148771,0.68601759308,0.151866148771,0.047162941267099995,0.0101601501881,0.319023623067,0.276992715543,0.24489958425,2013-06-19 13:00:00,50.0374956818,54.060536638436204
43,1.6381408991600002,0.0,0.48989665139,0.13610310438200002,0.6259997557720001,0.13610310438200002,0.047162941267099995,0.0101601501881,0.36061507566,0.272321956112,0.305237020164,2013-06-20 11:00:00,54.7331477227,58.754888381177196
44,1.73850151866,0.0,0.6127139129720001,0.168065061005,0.780778973977,0.168065061005,0.047162941267099995,0.0101601501881,0.350008238641,0.267734603099,0.26601261149,2013-06-20 12:00:00,103.15780761699999,107.56701068930418
45,1.8710524311599999,0.0,0.753287859543,0.20394211877,0.957229978313,0.20394211877,0.047162941267099995,0.0101601501881,0.319023623067,0.276992715543,0.24383902278499997,2013-06-20 13:00:00,62.563269309999995,67.4499022694062
46,1.73664289318,0.0,0.570580170121,0.15659739762299998,0.727177567744,0.15659739762299998,0.047162941267099995,0.0101601501881,0.36061507566,0.272321956112,0.302561202209,2013-06-22 11:00:00,59.614628802400006,63.9550455541272
47,1.8000116808400002,0.0,0.660819964181,0.18376914937,0.8445891135510001,0.18376914937,0.047162941267099995,0.0101601501881,0.350008238641,0.267734603099,0.263712634093,2013-06-22 12:00:00,108.75338233099998,113.36511995560018
48,1.92415414295,0.0,0.794331850708,0.21806149855999998,1.01239334927,0.21806149855999998,0.047162941267099995,0.0101601501881,0.319023623067,0.276992715543,0.241777363622,2013-06-22 13:00:00,18.669629442999998,23.7317485767352
49,1.5399068163799998,0.0,0.411951158039,0.119789177661,0.531740335699,0.119789177661,0.047162941267099995,0.0101601501881,0.36061507566,0.272321956112,0.30126235745,2013-06-23 11:00:00,83.307519774,87.0222189201172
50,1.5150734051899999,0.0,0.429320373423,0.131446779243,0.560767152666,0.131446779243,0.047162941267099995,0.0101601501881,0.350008238641,0.267734603099,0.262596319329,2013-06-23 12:00:00,110.45133605100001,114.15705279328921
51,1.57751789092,0.0,0.5140644138279999,0.152693859608,0.666758273436,0.152693859608,0.047162941267099995,0.0101601501881,0.319023623067,0.276992715543,0.240776187415,2013-06-23 13:00:00,10.679547412,14.637391326880199
52,1.24488628376,0.0,0.0870633450778,0.027773755424000002,0.11483710050200001,0.027773755424000002,0.05030713788269999,0.010837493533999999,0.397296302362,0.27223854969300004,0.38272569979099996,2013-06-24 10:00:00,11.3607457475,13.9764851709505
53,1.31669917766,0.0,0.17486314083700003,0.054934896333,0.22979803716999997,0.054934896333,0.047162941267099995,0.0101601501881,0.41310383517899996,0.272321956112,0.32750825774,2013-06-24 11:00:00,108.596475636,111.49796292481919
54,1.3265504552,0.0,0.229611472964,0.07214948088499999,0.301760953849,0.07214948088499999,0.047162941267099995,0.0101601501881,0.397818744732,0.267734603099,0.285269062061,2013-06-24 12:00:00,91.214723098,94.2250904431302
55,1.37989670315,0.0,0.223962815667,0.07042307472,0.29438589038699997,0.07042307472,0.047162941267099995,0.0101601501881,0.41310383517899996,0.272321956112,0.326117930014,2013-06-25 11:00:00,78.4444024068,81.55236077820419
56,1.37427711136,0.0,0.265795909462,0.08488918756330001,0.35068509702600004,0.08488918756330001,0.047162941267099995,0.0101601501881,0.397818744732,0.267734603099,0.284071575051,2013-06-25 12:00:00,87.010249433,90.1777339403118
57,1.4784099318000001,0.0,0.368068676647,0.105906489877,0.473975166524,0.105906489877,0.047162941267099995,0.0101601501881,0.36061507566,0.272321956112,0.29753064204999996,2013-06-26 11:00:00,60.338293699800005,63.8583512198022
58,1.6093772178999999,0.0,0.514943307818,0.14333523809,0.6582785459080001,0.14333523809,0.047162941267099995,0.0101601501881,0.350008238641,0.267734603099,0.259388738793,2013-06-26 12:00:00,88.355589279,92.3593134987942
59,1.6015759516499999,0.0,0.46229122565200004,0.136037738795,0.598328964447,0.136037738795,0.047162941267099995,0.0101601501881,0.36061507566,0.272321956112,0.296342863973,2013-06-27 11:00:00,6.0133956609000005,9.934270267439201
60,1.58615666029,0.0,0.48910096076399995,0.146978383719,0.636079344483,0.146978383719,0.047162941267099995,0.0101601501881,0.350008238641,0.267734603099,0.25836738261500003,2013-06-27 12:00:00,107.501968478,111.44069552678519
61,1.58688908334,0.0,0.521513779704,0.158406214996,0.679919994699,0.158406214996,0.047162941267099995,0.0101601501881,0.319023623067,0.276992715543,0.23698565857099999,2013-06-27 13:00:00,39.572939919,43.5684002953712
62,1.52271277361,0.0,0.40723680232299997,0.113388972742,0.520625775065,0.113388972742,0.047162941267099995,0.0101601501881,0.36061507566,0.272321956112,0.295182875315,2013-06-28 11:00:00,70.87418963969999,74.53698593472419
63,1.5889827788,0.0,0.49931464999700004,0.140587586445,0.639902236442,0.140587586445,0.047162941267099995,0.0101601501881,0.350008238641,0.267734603099,0.257370609162,2013-06-28 12:00:00,107.074512513,111.0163238934862
64,1.71875089083,0.0,0.635594400076,0.177080570651,0.812674970726,0.177080570651,0.047162941267099995,0.0101601501881,0.319023623067,0.276992715543,0.236092490042,2013-06-28 13:00:00,32.968266235,37.378879558041206
65,1.5112240682799998,0.0,0.36693513975500003,0.105525984521,0.47246112427599996,0.105525984521,0.05030713788269999,0.010837493533999999,0.34638007307199997,0.27223854969300004,0.34235568981700004,2013-06-29 10:00:00,1.430226164,5.0140174093517
66,1.53005909648,0.0,0.410866165086,0.118236858677,0.529103023763,0.118236858677,0.047162941267099995,0.0101601501881,0.36061507566,0.272321956112,0.29405194949499996,2013-06-29 11:00:00,110.08625197500001,113.77706605040521
67,1.56310862171,0.0,0.476224621997,0.138775572272,0.615000194268,0.138775572272,0.047162941267099995,0.0101601501881,0.350008238641,0.267734603099,0.256398494244,2013-06-29 12:00:00,107.58104324700001,111.44439225695821
68,1.4106837279299997,0.0,0.382962982064,0.12251677167300001,0.505479753737,0.12251677167300001,0.047162941267099995,0.0101601501881,0.319023623067,0.276992715543,0.235220544124,2013-06-29 13:00:00,5.225859944,8.6585799252662
69,1.3954737841,0.0,0.277274537251,0.08073636501550001,0.358010902267,0.08073636501550001,0.05030713788269999,0.010837493533999999,0.34638007307199997,0.27223854969300004,0.34105562764700004,2013-06-30 10:00:00,10.0965382294,13.3095890648777
70,1.4677958735299999,0.0,0.363333786947,0.10460805033399999,0.46794183728100003,0.10460805033399999,0.047162941267099995,0.0101601501881,0.36061507566,0.272321956112,0.292949913021,2013-06-30 11:00:00,113.00614628299999,116.4976439176742
71,1.6142704125999998,0.0,0.5217877839739999,0.145321297391,0.667109081365,0.145321297391,0.047162941267099995,0.0101601501881,0.350008238641,0.267734603099,0.255451398039,2013-06-30 12:00:00,107.37410594900001,111.3984331529552
72,1.77191828428,0.0,0.678557215541,0.189005444924,0.867562660465,0.189005444924,0.047162941267099995,0.0101601501881,0.319023623067,0.276992715543,0.234372193747,2013-06-30 13:00:00,6.943041359,11.5268020329462
73,1.76534571569,0.0,0.50400413802,0.141588550185,0.645592688205,0.141588550185,0.0513398386481,0.0110599629534,0.39768547199,0.271013629335,0.372010124558,2013-07-01 10:00:00,25.9318804157,30.2331090854695
74,1.8229954211400001,0.0,0.5796728935059999,0.161185056228,0.740857949735,0.161185056228,0.0513398386481,0.0110599629534,0.413557851125,0.271096660471,0.318439158206,2013-07-01 11:00:00,112.03817843,116.5695682782405
75,1.91923920151,0.0,0.704476739205,0.193388824564,0.8978655637690001,0.193388824564,0.0513398386481,0.0110599629534,0.398337606996,0.266529947967,0.277462281173,2013-07-01 12:00:00,109.113647182,114.02673597334949
76,1.9129993502200002,0.0,0.731450062728,0.210288392945,0.9417384556730001,0.210288392945,0.0513398386481,0.0110599629534,0.363033202508,0.275746404112,0.253437486328,2013-07-01 13:00:00,103.12555510600001,108.08693665506051
77,1.84146471189,0.0,0.598473360364,0.16201966544500002,0.760493025809,0.16201966544500002,0.0513398386481,0.0110599629534,0.413557851125,0.271096660471,0.317273372881,2013-07-02 11:00:00,100.466272735,105.0550708500315
78,1.9409138969599997,0.0,0.7244167854970001,0.19612701205400002,0.920543797551,0.19612701205400002,0.0513398386481,0.0110599629534,0.398337606996,0.266529947967,0.276458742846,2013-07-02 12:00:00,88.940616563,93.9224711665265
79,1.43642768583,0.0,0.335054519797,0.10034153564500001,0.435396055443,0.10034153564500001,0.0513398386481,0.0110599629534,0.361069091606,0.271096660471,0.289822076714,2013-07-03 11:00:00,95.74508464399999,99.13703360675248
80,1.46961573106,0.0,0.401569320996,0.119183125665,0.5207524466610001,0.119183125665,0.0513398386481,0.0110599629534,0.35052710090499994,0.266529947967,0.252762433922,2013-07-03 12:00:00,107.27595726500002,110.83848029944252
81,1.54327058912,0.0,0.492534515248,0.14453891951,0.637073434757,0.14453891951,0.0513398386481,0.0110599629534,0.319445169994,0.275746404112,0.23196177865200002,2013-07-03 13:00:00,19.096134329,22.947643861504503
82,1.1391522402,0.0,0.080764659024,0.0253546312194,0.106119290243,0.0253546312194,0.0513398386481,0.0110599629534,0.34676924270000004,0.271013629335,0.336206276323,2013-07-04 10:00:00,70.6627942954,73.0559286972653
83,1.16070047797,0.0,0.12248115881100001,0.038170503223199995,0.160651662034,0.038170503223199995,0.0513398386481,0.0110599629534,0.361069091606,0.271096660471,0.28883926226,2013-07-04 11:00:00,109.824376664,112.3279557851999
84,1.13019306038,0.0,0.13888047827,0.0432937470467,0.18217422531599997,0.0432937470467,0.0513398386481,0.0110599629534,0.35052710090499994,0.266529947967,0.251917984586,2013-07-04 12:00:00,105.921086429,108.3902965221189
85,1.18202064244,0.0,0.211728038675,0.06485333485230001,0.27658137352699996,0.06485333485230001,0.0513398386481,0.0110599629534,0.319445169994,0.275746404112,0.231203893206,2013-07-04 13:00:00,32.959995758,35.6488277512601
86,1.60986381195,0.0,0.474179436192,0.136585595472,0.6107650316650001,0.136585595472,0.0513398386481,0.0110599629534,0.361069091606,0.271096660471,0.287889226604,2013-07-05 11:00:00,95.74827846230001,99.6987127133335
87,1.6570060697100002,0.0,0.552301033877,0.15750284409499998,0.709803877972,0.15750284409499998,0.0513398386481,0.0110599629534,0.35052710090499994,0.266529947967,0.251101341265,2013-07-05 12:00:00,105.21545484500001,109.38012970648751
88,1.7464147686099998,0.0,0.65675510248,0.18495164348999998,0.841706745971,0.18495164348999998,0.0513398386481,0.0110599629534,0.319445169994,0.275746404112,0.230472646934,2013-07-05 13:00:00,8.514623542999999,13.017467469682499
89,1.3298194243600001,0.0,0.25271689359099997,0.0789252427167,0.331642136308,0.0789252427167,0.0513398386481,0.0110599629534,0.361069091606,0.271096660471,0.28696773437199996,2013-07-06 11:00:00,48.75463184870001,51.80819407644291
90,1.32458619082,0.0,0.288161725101,0.0900148948518,0.378176619953,0.0900148948518,0.0513398386481,0.0110599629534,0.35052710090499994,0.266529947967,0.250308720389,2013-07-06 12:00:00,105.167075777,108.26779567344009
91,1.28995580548,0.0,0.292908609463,0.0930493117371,0.3859579212,0.0930493117371,0.0513398386481,0.0110599629534,0.319445169994,0.275746404112,0.229762508574,2013-07-06 13:00:00,93.69470920900002,96.73698405289872
92,1.15526809114,0.0,0.09508168631160001,0.0304123173854,0.125494003697,0.0304123173854,0.0513398386481,0.0110599629534,0.34676924270000004,0.271013629335,0.332947413806,2013-07-07 10:00:00,71.5295579682,73.9793564715619
93,1.27109356116,0.0,0.207430251076,0.0663756033462,0.273805854422,0.0663756033462,0.0513398386481,0.0110599629534,0.361069091606,0.271096660471,0.286078153063,2013-07-07 11:00:00,108.72999716600002,111.59572174609193
94,1.29729651896,0.0,0.266376835061,0.08527407670289999,0.351650911764,0.08527407670289999,0.0513398386481,0.0110599629534,0.35052710090499994,0.266529947967,0.249544756723,2013-07-07 12:00:00,72.923084994,75.93795902038731
95,1.4586660159399998,0.0,0.267369541544,0.0803367219517,0.347706263495,0.0803367219517,0.0513398386481,0.0110599629534,0.39768547199,0.271013629335,0.36321684951899996,2013-07-08 10:00:00,15.318663014999998,18.6473940323279
96,1.48741559242,0.0,0.315757479148,0.0969632635549,0.412720742702,0.0969632635549,0.0513398386481,0.0110599629534,0.413557851125,0.271096660471,0.310996536523,2013-07-08 11:00:00,102.585096029,106.0529672201003
97,1.45632047428,0.0,0.336228898918,0.105125110461,0.441354009379,0.105125110461,0.0513398386481,0.0110599629534,0.398337606996,0.266529947967,0.27105510833700003,2013-07-08 12:00:00,98.60650280399999,102.04897887240048
98,1.42304006269,0.0,0.34714450771399996,0.110357671065,0.45750217877899996,0.110357671065,0.0513398386481,0.0110599629534,0.363033202508,0.275746404112,0.247714475687,2013-07-08 13:00:00,47.683334169999995,51.08063014522149
99,1.72388560882,0.0,0.507295741375,0.142817904615,0.65011364599,0.142817904615,0.0513398386481,0.0110599629534,0.413557851125,0.271096660471,0.310073649636,2013-07-09 11:00:00,53.0139160157,57.237974783948495
100,1.78253901148,0.0,0.597876470603,0.170489818691,0.768366289294,0.170489818691,0.0513398386481,0.0110599629534,0.398337606996,0.266529947967,0.270261365626,2013-07-09 12:00:00,64.80562549300001,69.29291562394951
101,1.3832392364700001,0.0,0.168172678462,0.05040513183130001,0.218577810293,0.05040513183130001,0.112305869658,0.024193663061199997,0.26990279840799997,0.311117668235,0.43049742681100006,2013-07-10 08:00:00,6.3148863639999995,9.3337037790608
102,1.7101143057100001,0.0,0.5583462333420001,0.156957104954,0.7153033382969999,0.156957104954,0.0513398386481,0.0110599629534,0.361069091606,0.271096660471,0.283601413734,2013-07-10 11:00:00,60.7560126201,65.0318576747695
103,1.8214801326599996,0.0,0.685285191909,0.19267821912799998,0.8779634110369999,0.19267821912799998,0.0513398386481,0.0110599629534,0.35052710090499994,0.266529947967,0.24741587114500002,2013-07-10 12:00:00,83.41495458100003,88.11191247648053
104,1.58343693903,0.0,0.457816376881,0.131571852527,0.589388229407,0.131571852527,0.0513398386481,0.0110599629534,0.361069091606,0.271096660471,0.282839155941,2013-07-11 11:00:00,66.99577562520001,70.86696558519151
105,1.6504932099599998,0.0,0.54963082716,0.158000969731,0.707631796892,0.158000969731,0.0513398386481,0.0110599629534,0.35052710090499994,0.266529947967,0.24676056259399998,2013-07-11 12:00:00,106.89839106,111.04836624654149
106,1.7972890134000001,0.0,0.6998129170340001,0.196659074195,0.8964719912289999,0.196659074195,0.0513398386481,0.0110599629534,0.319445169994,0.275746404112,0.22658164646499998,2013-07-11 13:00:00,20.69665013,25.3677152222255
107,1.2167184050700002,0.0,0.169667046593,0.0537333258829,0.223400372476,0.0537333258829,0.0513398386481,0.0110599629534,0.361069091606,0.271096660471,0.282108478919,2013-07-12 11:00:00,82.58735304999999,85.28127955850229
108,1.29888213918,0.0,0.27304085408900003,0.0836077560688,0.356648610158,0.0836077560688,0.0513398386481,0.0110599629534,0.35052710090499994,0.266529947967,0.246132678547,2013-07-12 12:00:00,96.550971548,99.57234819258511
109,1.5260290538999999,0.0,0.388709401419,0.11305019461100001,0.50175959603,0.11305019461100001,0.0513398386481,0.0110599629534,0.34676924270000004,0.271013629335,0.327442784233,2013-07-13 10:00:00,1.8677916607,5.518015559140499
110,1.51045281128,0.0,0.39734330916,0.120487119887,0.517830429048,0.120487119887,0.0513398386481,0.0110599629534,0.361069091606,0.271096660471,0.28141282854899996,2013-07-13 11:00:00,75.7903512246,79.4329303960895
111,1.5463360292500001,0.0,0.46397929445600006,0.140721332363,0.604700626819,0.140721332363,0.0513398386481,0.0110599629534,0.35052710090499994,0.266529947967,0.245534551956,2013-07-13 12:00:00,102.55719697660001,106.37864699428052
112,1.6954484165500001,0.0,0.6163353528159999,0.179394772849,0.7957301256649999,0.179394772849,0.0513398386481,0.0110599629534,0.319445169994,0.275746404112,0.22548291517400001,2013-07-13 13:00:00,1.7923056739999996,6.141683405610499
113,1.45709423833,0.0,0.334269968362,0.0993383226244,0.433608290986,0.0993383226244,0.0513398386481,0.0110599629534,0.34676924270000004,0.271013629335,0.326659273705,2013-07-14 10:00:00,73.52630418500001,76.95679527526832
114,1.50710504341,0.0,0.397073390816,0.118073170624,0.5151465614399999,0.118073170624,0.0513398386481,0.0110599629534,0.361069091606,0.271096660471,0.28074892829,2013-07-14 11:00:00,97.59445484,101.2252406588825
115,1.6052117294100001,0.0,0.514356686252,0.149790193504,0.664146879756,0.149790193504,0.0513398386481,0.0110599629534,0.35052710090499994,0.266529947967,0.244963999184,2013-07-14 12:00:00,88.056667659,92.0643841910835
116,1.65710047226,0.0,0.428304302966,0.124576663411,0.552880966377,0.124576663411,0.0513398386481,0.0110599629534,0.39768547199,0.271013629335,0.35647660295500005,2013-07-15 10:00:00,18.3463550488,22.3213696231065
117,1.71716874711,0.0,0.502077047552,0.14610152155099998,0.648178569102,0.14610152155099998,0.0513398386481,0.0110599629534,0.413557851125,0.271096660471,0.30529186481,2013-07-15 11:00:00,105.163605702,109.3755792868735
118,1.82381586745,0.0,0.633451375878,0.18030788507399997,0.813759260952,0.18030788507399997,0.0513398386481,0.0110599629534,0.398337606996,0.266529947967,0.26614524993,2013-07-15 12:00:00,105.693760879,110.3188157599225
119,1.9815412809900002,0.0,0.798339450078,0.22205031011300003,1.0203897601899998,0.22205031011300003,0.0513398386481,0.0110599629534,0.363033202508,0.275746404112,0.243328112575,2013-07-15 13:00:00,48.011051986999995,53.199930619280494
120,1.85102869092,0.0,0.611084244471,0.171622223824,0.782706468294,0.171622223824,0.0513398386481,0.0110599629534,0.413557851125,0.271096660471,0.304623909432,2013-07-16 11:00:00,56.4513679143,61.0911099882625
