,ERN,H,XPR
2016-07-12,0,-3.223529331685327,-20.0
2016-07-13,0,-3.218338179912395,-20.0
2016-07-14,0,-3.218338179912395,-20.0
2016-07-15,0,-3.218338179912395,-20.0
2016-07-18,0,-3.218338179912395,-20.0
2016-07-19,0,-3.218338179912395,-20.0
2016-07-20,0,-3.2142149090456793,-20.0
2016-07-21,0,-3.2142149090456793,-20.0
2016-07-22,0,-3.2142149090456793,-20.0
2016-07-25,0,-3.2142149090456793,-20.0
2016-07-26,0,-3.2142149090456793,-20.0
2016-07-27,0,-3.209766793078454,-20.0
2016-07-28,0,-3.209766793078454,-20.0
2016-07-29,0,-3.209766793078454,-20.0
2016-08-01,0,-3.209766793078454,-20.0
2016-08-02,0,-3.209766793078454,-20.0
2016-08-03,0,-3.2046532368694303,-20.0
2016-08-04,0,-3.2046532368694303,-20.0
2016-08-05,0,-3.2046532368694303,-20.0
2016-08-08,0,-3.2046532368694303,-20.0
2016-08-09,0,-3.2046532368694303,-20.0
2016-08-10,0,-3.198474503680209,-20.0
2016-08-11,0,-3.198474503680209,-20.0
2016-08-12,0,-3.198474503680209,-20.0
2016-08-15,0,-3.198474503680209,-20.0
2016-08-16,0,-3.198474503680209,-20.0
2016-08-17,0,-3.1936985039960653,-20.0
2016-08-18,0,-3.1936985039960653,-20.0
2016-08-19,0,-3.1936985039960653,-20.0
2016-08-22,0,-3.1936985039960653,-20.0
2016-08-23,0,-3.1936985039960653,-20.0
2016-08-24,0,-3.1895052791997394,-20.0
2016-08-25,0,-3.1895052791997394,-20.0
2016-08-26,0,-3.1895052791997394,-20.0
2016-08-29,0,-3.1895052791997394,-20.0
2016-08-30,0,-3.1895052791997394,-20.0
2016-08-31,0,-3.1846955098339813,-20.0
2016-09-01,0,-3.1846955098339813,-20.0
2016-09-02,0,-3.1846955098339813,-20.0
2016-09-05,0,-3.1846955098339813,-20.0
2016-09-06,0,-3.1846955098339813,-20.0
2016-09-07,0,-3.1796418924483567,-20.0
2016-09-08,0,-3.1796418924483567,-20.0
2016-09-09,0,-3.1796418924483567,-20.0
2016-09-12,0,-3.1796418924483567,-20.0
2016-09-13,0,-3.1796418924483567,-20.0
2016-09-14,0,-3.173901311910509,-20.0
2016-09-15,0,-3.173901311910509,-20.0
2016-09-16,0,-3.173901311910509,-20.0
2016-09-19,0,-3.173901311910509,-20.0
2016-09-20,0,-3.173901311910509,-20.0
2016-09-21,0,-3.169664223941719,-20.0
2016-09-22,0,-3.169664223941719,-20.0
2016-09-23,0,-3.169664223941719,-20.0
2016-09-26,0,-3.169664223941719,-20.0
2016-09-27,0,-3.169664223941719,-20.0
2016-09-28,0,-3.1649744177259787,-20.0
2016-09-29,0,-3.1649744177259787,-20.0
2016-09-30,0,-3.1649744177259787,-20.0
2016-10-03,0,-3.1649744177259787,-20.0
2016-10-04,0,-3.1649744177259787,-20.0
2016-10-05,0,-3.1629340623365785,-20.0
2016-10-06,0,-3.1629340623365785,-20.0
2016-10-07,0,-3.1629340623365785,-20.0
2016-10-10,0,-3.1629340623365785,-20.0
2016-10-11,0,-3.1629340623365785,-20.0
2016-10-12,0,-3.160770202834526,-20.0
2016-10-13,0,-3.160770202834526,-20.0
2016-10-14,0,-3.160770202834526,-20.0
2016-10-17,0,-3.160770202834526,-20.0
2016-10-18,0,-3.160770202834526,-20.0
2016-10-19,0,-3.1559460169621296,-20.0
2016-10-20,0,-3.1559460169621296,-20.0
2016-10-21,0,-3.1559460169621296,-20.0
2016-10-24,0,-3.1559460169621296,-20.0
2016-10-25,0,-3.1559460169621296,-20.0
2016-10-26,0,-3.1501736997233123,-20.0
2016-10-27,0,-3.1501736997233123,-20.0
2016-10-28,0,-3.1501736997233123,-20.0
2016-10-31,0,-3.1501736997233123,-20.0
2016-11-01,0,-3.1501736997233123,-20.0
2016-11-02,0,-3.1467282085047388,-20.0
2016-11-03,0,-3.1467282085047388,-20.0
2016-11-04,0,-3.1467282085047388,-20.0
2016-11-07,0,-3.1467282085047388,-20.0
2016-11-08,0,-3.1467282085047388,-20.0
2016-11-09,0,-3.1495402152764282,-20.0
2016-11-10,0,-3.1495402152764282,-20.0
2016-11-11,0,-3.1495402152764282,-20.0
2016-11-14,0,-3.1495402152764282,-20.0
2016-11-15,0,-3.1495402152764282,-20.0
2016-11-16,0,-3.154977164406813,-20.0
2016-11-17,0,-3.154977164406813,-20.0
2016-11-18,0,-3.154977164406813,-20.0
2016-11-21,0,-3.154977164406813,-20.0
2016-11-22,0,-3.154977164406813,-20.0
2016-11-23,0,-3.156940461059188,-20.0
2016-11-24,0,-3.156940461059188,-20.0
2016-11-25,0,-3.156940461059188,-20.0
2016-11-28,0,-3.156940461059188,-20.0
